dataset_source,external_animal_id,campaign,breed,sex,abdominal_width_cm,abdominal_width_2_cm,hip_height_cm,withers_height_cm,wih_cm,bh_cm,body_length_cm,chest_girth_cm,thoracic_depth_cm,real_weight_kg,notes
Wang2024/Zenodo-11277007,301,15-2,Simmental,male,51.80,60.94,119.24,119.24,111.73,110.83,63.40,,,243,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,302,15-3,Simmental,male,54.69,67.12,122.75,125.67,119.48,117.80,82.70,,,269,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,302,15-2,Simmental,male,54.96,69.82,121.87,123.58,119.30,115.89,78.87,,,269,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,302,15-1,Simmental,male,55.02,66.14,122.13,122.58,119.41,117.74,67.43,,,269,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,303,10-3,Simmental,male,59.01,69.27,119.51,120.47,116.48,116.40,68.57,,,247,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,304,15-3,Simmental,male,56.14,65.03,116.33,118.21,112.51,109.25,76.43,,,239,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,306,8-1,Simmental,male,58.24,71.77,121.38,122.97,117.83,118.87,95.69,,,229,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,306,8-2,Simmental,male,54.45,57.72,115.69,120.59,112.63,111.60,80.96,,,229,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,307,10-1,Simmental,male,56.50,72.22,114.51,115.99,111.49,109.93,86.74,,,221,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,307,15-2,Simmental,male,52.63,64.64,115.27,118.84,109.44,109.01,77.41,,,221,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,307,15-5,Simmental,male,52.22,62.20,113.64,118.58,111.28,106.70,89.58,,,221,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,307,15-3,Simmental,male,56.42,65.35,109.74,112.31,106.24,103.96,80.29,,,221,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,308,15-5,Simmental,male,58.50,72.10,111.70,116.92,109.78,106.76,87.78,,,219,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,308,15-1,Simmental,male,55.36,61.13,110.25,111.18,109.21,108.93,76.99,,,219,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,308,15-2,Simmental,male,51.56,65.00,111.10,113.39,111.37,109.82,85.00,,,219,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,311,15-3,Simmental,male,51.39,57.88,115.34,118.68,109.61,107.69,61.80,,,206,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,311,10-1,Simmental,male,53.06,59.10,116.39,118.09,110.87,111.32,73.90,,,206,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,312,15-2,Simmental,male,53.50,86.86,110.14,112.83,106.82,104.31,90.69,,,209,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,312,15-3,Simmental,male,53.75,65.83,112.34,112.34,102.84,100.34,57.40,,,209,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,314,10-1,Simmental,male,56.08,60.72,117.61,120.40,111.78,110.56,81.77,,,214,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,314,10-2,Simmental,male,53.74,69.04,116.62,120.38,110.47,108.53,87.71,,,214,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,314,10-3,Simmental,male,55.18,60.26,113.57,117.51,110.66,107.80,90.25,,,214,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,315,15-3,Simmental,male,60.95,71.31,107.52,112.31,101.02,98.85,87.75,,,215,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,316,8-5,Simmental,male,58.51,63.99,113.24,115.63,106.13,106.16,71.63,,,195,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,318,10-1,Simmental,male,58.07,66.16,113.71,115.47,107.33,106.65,71.71,,,213,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,318,15-5,Simmental,male,55.19,62.28,112.66,113.34,108.84,105.92,89.45,,,213,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,319,15-3,Simmental,male,62.22,71.91,114.63,117.04,110.06,107.56,95.38,,,264,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,319,15-2,Simmental,male,59.22,66.01,114.75,116.66,111.06,110.76,73.20,,,264,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,319,15-5,Simmental,male,54.08,66.22,115.72,117.79,112.47,108.56,64.27,,,264,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,320,15-2,Simmental,male,57.74,64.69,116.02,121.50,111.23,108.01,96.50,,,251,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,323,15-2,Simmental,male,54.18,61.52,115.79,115.86,114.08,112.47,58.27,,,228,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,323,15-3,Simmental,male,54.24,66.06,115.25,117.44,111.74,109.63,65.55,,,228,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,323,15-1,Simmental,male,49.96,59.74,108.70,112.66,120.10,108.70,104.22,,,228,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,324,15-1,Simmental,male,51.96,57.68,116.19,116.60,108.83,107.34,76.54,,,202,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,325,15-1,Simmental,male,48.83,59.20,114.43,117.94,110.98,108.48,92.73,,,193,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,325,15-5,Simmental,male,49.08,59.99,115.75,119.41,110.74,106.59,94.94,,,193,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,325,8-5,Simmental,male,52.07,65.46,114.30,116.31,116.79,114.12,68.42,,,193,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,325,15-2,Simmental,male,50.36,62.77,114.96,119.74,109.63,107.86,82.27,,,193,"young bulls, UAV-LiDAR; no chest girth in this modality"
